Title,Year,Rating,Runtime,Critic.Score,Box.Office,Award
The Whole Nine Yards,2000,R,98,45,57.3,FALSE
Gladiator,2000,R,155,76,187.3,TRUE
Cirque du Soleil,2000,G,39,45,13.4,FALSE
Dinosaur,2000,PG,82,65,135.6,FALSE
Big Momma's House,2000,PG-13,99,30,0.5,FALSE
Gone in Sixty Seconds,2000,PG-13,118,24,101,FALSE
Shaft,2000,R,99,68,70.3,FALSE
"Me, Myself & Irene",2000,R,116,48,0.6,TRUE
Chicken Run,2000,G,84,97,106.6,FALSE
The Patriot,2000,R,165,62,2.3,TRUE
The Adventures of Rocky & Bullwinkle,2000,PG,92,43,0.4,FALSE
The Kid,2000,PG,104,49,68.5,FALSE
X-Men,2000,PG-13,104,82,156.2,TRUE
What Lies Beneath,2000,PG-13,130,46,155,FALSE
Thomas and the Magic Railroad,2000,G,85,19,2,FALSE
Nutty Professor II: The Klumps,2000,PG-13,106,26,122.4,TRUE
Hollow Man,2000,R,112,27,72.1,FALSE
Coyote Ugly,2000,PG-13,100,22,59.8,TRUE
Space Cowboys,2000,PG-13,130,78,89.4,TRUE
The Replacements,2000,PG-13,118,40,44,TRUE
Bless the Child,2000,R,107,3,28.1,FALSE
The Original Kings of Comedy,2000,R,115,86,37.7,TRUE
The Cell,2000,R,107,45,60,TRUE
The Crew,2000,PG-13,88,20,12.5,FALSE
Bring It On,2000,PG-13,98,63,67.9,TRUE
The Art of War,2000,R,117,16,29.5,FALSE
The Tao of Steve,2000,R,87,80,2.6,FALSE
Whipped,2000,R,82,13,3.8,FALSE
Backstage,2000,R,86,31,0.7,FALSE
Turn It Up,2000,R,86,8,0.7,FALSE
The Way of the Gun,2000,R,119,48,5.2,TRUE
Nurse Betty,2000,R,110,84,25,TRUE
The Watcher,2000,R,97,10,28.6,TRUE
Duets,2000,R,112,20,4.3,FALSE
Bait,2000,R,119,26,14.9,TRUE
Urban Legends: Final Cut,2000,R,97,9,21,TRUE
Woman on Top,2000,R,92,34,4.5,TRUE
Almost Famous,2000,R,122,88,31.7,TRUE
Remember the Titans,2000,PG,113,73,114.3,TRUE
Beautiful,2000,PG-13,112,16,2.8,TRUE
Dancer in the Dark,2000,R,140,68,2.8,FALSE
Meet the Parents,2000,PG-13,108,84,164.5,FALSE
Girlfight,2000,R,110,87,0.8,FALSE
Digimon: The Movie,2000,PG,82,25,9,FALSE
Get Carter,2000,R,102,12,14.6,FALSE
Dr. T and the Women,2000,R,122,57,12.1,FALSE
The Contender,2000,R,126,76,16.1,TRUE
Lost Souls,2000,R,97,7,16.4,FALSE
The Ladies Man,2000,R,84,11,13.4,FALSE
Best in Show,2000,PG-13,90,95,16.6,FALSE
Pay It Forward,2000,PG-13,123,40,32.8,FALSE
Bamboozled,2000,R,135,48,1.9,TRUE
Bedazzled,2000,PG-13,93,49,37,FALSE
Lucky Numbers,2000,R,105,22,9.5,TRUE
The Little Vampire,2000,PG,95,55,13.4,TRUE
Charlie's Angels,2000,PG-13,98,67,124.4,FALSE
The Legend of Bagger Vance,2000,PG-13,126,43,30.4,TRUE
Red Planet,2000,PG-13,106,14,17.1,FALSE
Little Nicky,2000,PG-13,90,22,38.5,TRUE
Men of Honor,2000,R,129,41,46.2,TRUE
The 6th Day,2000,PG-13,123,41,33.8,TRUE
How the Grinch Stole Christmas,2000,PG,104,53,259,FALSE
102 Dalmatians,2000,G,100,31,65.4,FALSE
What's Cooking?,2000,PG-13,109,52,0.7,TRUE
Dungeons & Dragons,2000,PG-13,107,10,14.8,FALSE
Proof of Life,2000,R,135,40,31.2,TRUE
Vertical Limit,2000,PG-13,124,48,67.8,FALSE
What Women Want,2000,PG-13,127,54,181.5,TRUE
Requiem for a Dream,2000,R,102,78,2.5,FALSE
The Emperor's New Groove,2000,G,78,85,87.3,FALSE
"Dude, Where's My Car?",2000,PG-13,83,18,45,FALSE
The Family Man,2000,PG-13,125,53,73.7,FALSE
You Can Count on Me,2000,R,111,95,8.4,TRUE
Miss Congeniality,2000,PG-13,109,42,105.5,FALSE
Quills,2000,R,124,75,4.3,FALSE
All the Pretty Horses,2000,PG-13,116,32,14.7,FALSE
Traffic,2000,R,147,92,123.8,FALSE
State and Main,2000,R,105,86,5.8,FALSE
